# TASK-21593. One row per index name declared under tldw_chatbook/DB.
# Columns: <index name>\t<status>\t<note>.
#
# `plan-pinned`    a test names this index alongside EXPLAIN QUERY PLAN and a
#                  sqlite_stat1-absence assertion. This is the status new
#                  indexes should get.
# `pre-convention` predates TASK-21593's guard. No pin is demanded
#                  retroactively; the point is that the NEXT index cannot be
#                  added without someone choosing between these two words.
#
# Why this file exists at all: scripts/check_index_plan_pins.py, and the two
# measurements in its docstring where a textbook index was simply never
# chosen because no media DB has ever run ANALYZE.

idx_keywords_last_modified	pre-convention	plan never captured without stats
idx_keywords_merge_parent_uuid	pre-convention	plan never captured without stats
idx_keywords_prev_version	pre-convention	plan never captured without stats
idx_keywords_uuid	pre-convention	plan never captured without stats
idx_local_watchlist_runs_batch	pre-convention	plan never captured without stats
idx_media_active_ingested	plan-pinned	Tests/DB/test_media_db_schema_v9.py
idx_media_active_recent	plan-pinned	Tests/DB/test_media_db_schema_v9.py
idx_media_active_title	plan-pinned	Tests/DB/test_media_db_schema_v9.py
idx_media_active_type	plan-pinned	Tests/DB/test_media_db_schema_v9.py
idx_media_author	pre-convention	plan never captured without stats
idx_media_chunking_status	pre-convention	plan never captured without stats
idx_media_content_hash	pre-convention	plan never captured without stats
idx_media_deleted	pre-convention	plan never captured without stats
idx_media_ingestion_date	pre-convention	plan never captured without stats
idx_media_is_trash	pre-convention	plan never captured without stats
idx_media_last_modified	pre-convention	plan never captured without stats
idx_media_merge_parent_uuid	pre-convention	plan never captured without stats
idx_media_prev_version	pre-convention	plan never captured without stats
idx_media_title	pre-convention	plan never captured without stats
idx_media_type	pre-convention	plan never captured without stats
idx_media_uuid	pre-convention	plan never captured without stats
idx_media_vector_processing	pre-convention	plan never captured without stats
idx_mediachunks_deleted	pre-convention	plan never captured without stats
idx_mediachunks_last_modified	pre-convention	plan never captured without stats
idx_mediachunks_media_id	pre-convention	plan never captured without stats
idx_mediachunks_merge_parent_uuid	pre-convention	plan never captured without stats
idx_mediachunks_prev_version	pre-convention	plan never captured without stats
idx_mediachunks_uuid	pre-convention	plan never captured without stats
idx_mediakeywords_keyword_id	pre-convention	plan never captured without stats
idx_mediakeywords_media_id	pre-convention	plan never captured without stats
idx_message_attachments_message	pre-convention	plan never captured without stats
idx_message_exchanges_capture_detail	plan-pinned	Tests/DB/test_chachanotes_message_exchanges.py
idx_message_exchanges_message	pre-convention	plan never captured without stats
idx_message_trajectory_conv_seq	pre-convention	plan never captured without stats
idx_message_trajectory_msg	pre-convention	plan never captured without stats
idx_message_trajectory_turn	pre-convention	plan never captured without stats
idx_messages_conversation_id_id	pre-convention	plan never captured without stats
idx_messages_feedback	pre-convention	plan never captured without stats
idx_messages_role	pre-convention	plan never captured without stats
idx_messages_selected_variant	pre-convention	plan never captured without stats
idx_messages_variant_of	pre-convention	plan never captured without stats
idx_messages_variants_by_parent	pre-convention	plan never captured without stats
idx_mindmap_nodes_mindmap_id	pre-convention	plan never captured without stats
idx_msg_gen_meta_message	pre-convention	plan never captured without stats
idx_msgs_conv_ts	pre-convention	plan never captured without stats
idx_msgs_conversation	pre-convention	plan never captured without stats
idx_msgs_parent	pre-convention	plan never captured without stats
idx_msgs_ranking	pre-convention	plan never captured without stats
idx_msgs_timestamp	pre-convention	plan never captured without stats
idx_note_folder_memberships_active_folder	pre-convention	plan never captured without stats
idx_note_folder_memberships_active_note	pre-convention	plan never captured without stats
idx_note_folder_memberships_managed_owner	pre-convention	plan never captured without stats
idx_note_folder_memberships_restore_review	pre-convention	plan never captured without stats
idx_note_folders_active_parent	pre-convention	plan never captured without stats
idx_note_sync_publication_intents_pending	plan-pinned	Tests/DB/test_chachanotes_note_organization_receipts_migration.py
idx_notes_organization_adoption_reviews_open	plan-pinned	Tests/DB/test_chachanotes_notes_organization_migration.py
idx_notes_organization_heads_cursor	plan-pinned	Tests/DB/test_chachanotes_notes_organization_migration.py
idx_notes_organization_heads_note_subject	plan-pinned	Tests/DB/test_chachanotes_note_organization_receipts_migration.py
idx_notes_organization_intents_note_subject_latest	plan-pinned	Tests/DB/test_chachanotes_note_organization_receipts_migration.py
idx_notes_organization_intents_pending	plan-pinned	Tests/DB/test_chachanotes_notes_organization_migration.py
idx_notes_file_path	pre-convention	plan never captured without stats
idx_notes_file_path_on_disk	pre-convention	plan never captured without stats
idx_notes_file_path_unique	pre-convention	plan never captured without stats
idx_notes_is_externally_synced	pre-convention	plan never captured without stats
idx_notes_is_synced	pre-convention	plan never captured without stats
idx_notes_last_modified	pre-convention	plan never captured without stats
idx_notes_sync_excluded	pre-convention	plan never captured without stats
idx_notes_sync_root	pre-convention	plan never captured without stats
idx_notes_sync_root_folder	pre-convention	plan never captured without stats
idx_persona_visual_assets_version_key	pre-convention	plan never captured without stats
idx_persona_visual_bindings_persona_active	pre-convention	plan never captured without stats
idx_probe_annotations_group	pre-convention	plan never captured without stats
idx_probe_review_group	pre-convention	plan never captured without stats
idx_promptkeywordlinks_keyword_id	pre-convention	plan never captured without stats
idx_promptkeywordlinks_prompt_id	pre-convention	plan never captured without stats
idx_promptkeywordstable_deleted	pre-convention	plan never captured without stats
idx_promptkeywordstable_keyword	pre-convention	plan never captured without stats
idx_promptkeywordstable_last_modified	pre-convention	plan never captured without stats
idx_promptkeywordstable_uuid	pre-convention	plan never captured without stats
idx_prompts_author	pre-convention	plan never captured without stats
idx_prompts_deleted	pre-convention	plan never captured without stats
idx_prompts_last_modified	pre-convention	plan never captured without stats
idx_prompts_name	pre-convention	plan never captured without stats
idx_prompts_uuid	pre-convention	plan never captured without stats
idx_quiz_attempts_quiz_id	pre-convention	plan never captured without stats
idx_quiz_attempts_started_at	pre-convention	plan never captured without stats
idx_quiz_questions_order	pre-convention	plan never captured without stats
idx_quiz_questions_quiz_id	pre-convention	plan never captured without stats
idx_quizzes_last_modified	pre-convention	plan never captured without stats
idx_quizzes_name	pre-convention	plan never captured without stats
idx_quizzes_workspace_id	pre-convention	plan never captured without stats
idx_research_quick_note_receipts_owner	pre-convention	plan never captured without stats
idx_research_quick_note_receipts_reconcile	pre-convention	plan never captured without stats
idx_research_source_operations_incomplete	pre-convention	plan never captured without stats
idx_review_history_flashcard_id	pre-convention	plan never captured without stats
idx_site_configs_domain	pre-convention	plan never captured without stats
