# Timestamp-writer census (ADR-173 / TASK-32803.1). Every row emits a
# shape other than the canonical YYYY-MM-DDTHH:MM:SS.mmmZ. Ratchet:
# counts only shrink as TASK-32901 adopts Utils/timestamps.py.
# Regenerate with: python scripts/check_timestamp_writers.py --write
# module	symbol	kind	count
tldw_chatbook/Sync_Interop/conflict_review	SyncV2ConflictReviewService.resolve_notes_organization_adoption	offset_now_iso	1
tldw_chatbook/Sync_Interop/envelope_builder	SyncEnvelopeBuilder.build_notes_note_tombstone	offset_now_iso	1
tldw_chatbook/Sync_Interop/notes_organization_sync_service	NotesOrganizationSyncService._record_server_enrollment_status	offset_now_iso	1
tldw_chatbook/Sync_Interop/notes_organization_sync_service	NotesOrganizationSyncService._set_enrollment_local_state	offset_now_iso	1
tldw_chatbook/Sync_Interop/notes_organization_sync_service	_utc_now	offset_now_iso	1
tldw_chatbook/TTS/profile_repository	TTSProfileRepository._worker_create_recovery_backup	strftime_iso	1
tldw_chatbook/UI/Screens/library_screen	LibraryScreen._create_library_note	offset_now_iso	1
tldw_chatbook/Utils/instance_lock	acquire_profile_instance_lock	offset_now_iso	1
tldw_chatbook/Web_Server/artifact_share_manifest	stage_share	offset_now_iso	1
tldw_chatbook/Web_Server/artifact_share_server	ArtifactShareServer.run._serve	strftime_iso	1
tldw_chatbook/Widgets/Console/console_scope_picker_modal	_now_iso	offset_now_iso	1
tldw_chatbook/Workflows/document_service	_insert_revision	offset_now_iso	1
tldw_chatbook/Workspaces/change_retention	prune_change_history	strftime_iso	1
tldw_chatbook/Workspaces/models	utc_now_iso	offset_now_iso	1
tldw_chatbook/app	LibraryIngestQueueMixin._restore_ingest_jobs_off_thread	offset_now_iso	1
tldw_chatbook/config	_preserve_corrupt_config_aside	strftime_iso	1
